Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"ไม้เต็ง 4""x1.5""x4.00 ม.",0200300034000,code128,ไม่ระบุ,02,007,007,,0,760,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x4.50 ม.",0200300034500,code128,ไม่ระบุ,02,007,007,,0,855,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x5.00 ม.",0200300035000,code128,ไม่ระบุ,02,007,007,,0,950,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x5.50 ม.",0200300035500,code128,ไม่ระบุ,02,007,007,,0,1045,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 4""x1.5""x6.00 ม.",0200300036000,code128,ไม่ระบุ,02,007,007,,0,1140,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x1.00 ม.",0200300031000,code128,ไม่ระบุ,02,007,007,,0,230,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x1.50 ม.",0200300031500,code128,ไม่ระบุ,02,007,007,,0,345,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x2.00 ม.",0200300032000,code128,ไม่ระบุ,02,007,007,,0,460,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x2.50 ม.",0200300032500,code128,ไม่ระบุ,02,007,007,,0,575,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x3.00 ม.",0200300033000,code128,ไม่ระบุ,02,007,007,,0,690,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x3.50 ม.",0200300033500,code128,ไม่ระบุ,02,007,007,,0,805,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x4.00 ม.",0200300034000,code128,ไม่ระบุ,02,007,007,,0,920,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x4.50 ม.",0200300034500,code128,ไม่ระบุ,02,007,007,,0,1035,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x5.00 ม.",0200300035000,code128,ไม่ระบุ,02,007,007,,0,1150,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x5.50 ม.",0200300035500,code128,ไม่ระบุ,02,007,007,,0,1265,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 5""x1.5""x6.00 ม.",0200300036000,code128,ไม่ระบุ,02,007,007,,0,1380,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x1.00 ม.",0200300031000,code128,ไม่ระบุ,02,007,007,,0,270,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x1.50 ม.",0200300031500,code128,ไม่ระบุ,02,007,007,,0,405,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x2.00 ม.",0200300032000,code128,ไม่ระบุ,02,007,007,,0,540,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x2.50 ม.",0200300032500,code128,ไม่ระบุ,02,007,007,,0,675,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x3.00 ม.",0200300033000,code128,ไม่ระบุ,02,007,007,,0,810,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x3.50 ม.",0200300033500,code128,ไม่ระบุ,02,007,007,,0,945,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x4.00 ม.",0200300034000,code128,ไม่ระบุ,02,007,007,,0,1080,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x4.50 ม.",0200300034500,code128,ไม่ระบุ,02,007,007,,0,1215,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x5.00 ม.",0200300035000,code128,ไม่ระบุ,02,007,007,,0,1350,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x5.50 ม.",0200300035500,code128,ไม่ระบุ,02,007,007,,0,1485,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 6""x1.5""x6.00 ม.",0200300036000,code128,ไม่ระบุ,02,007,007,,0,1620,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x1.00 ม.",0200300031000,code128,ไม่ระบุ,02,007,007,,0,360,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x1.50 ม.",0200300031500,code128,ไม่ระบุ,02,007,007,,0,540,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x2.00 ม.",0200300032000,code128,ไม่ระบุ,02,007,007,,0,720,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x2.50 ม.",0200300032500,code128,ไม่ระบุ,02,007,007,,0,900,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x3.00 ม.",0200300033000,code128,ไม่ระบุ,02,007,007,,0,1080,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x3.50 ม.",0200300033500,code128,ไม่ระบุ,02,007,007,,0,1260,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x4.00 ม.",0200300034000,code128,ไม่ระบุ,02,007,007,,0,1440,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x4.50 ม.",0200300034500,code128,ไม่ระบุ,02,007,007,,0,1620,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x5.00 ม.",0200300035000,code128,ไม่ระบุ,02,007,007,,0,1800,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x5.50 ม.",0200300035500,code128,ไม่ระบุ,02,007,007,,0,1980,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็ง 8""x1.5""x6.00 ม.",0200300036000,code128,ไม่ระบุ,02,007,007,,0,2160,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x1.00 ม.",0200400061000,code128,ไม่ระบุ,02,007,007,,0,175,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x1.50 ม.",0200400061500,code128,ไม่ระบุ,02,007,007,,0,263,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x2.00 ม.",0200400062000,code128,ไม่ระบุ,02,007,007,,0,350,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x2.50 ม.",0200400062500,code128,ไม่ระบุ,02,007,007,,0,438,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x3.00 ม.",0200400063000,code128,ไม่ระบุ,02,007,007,,0,525,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x3.50 ม.",0200400063500,code128,ไม่ระบุ,02,007,007,,0,613,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x4.00 ม.",0200400064000,code128,ไม่ระบุ,02,007,007,,0,700,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x4.50 ม.",0200400064500,code128,ไม่ระบุ,02,007,007,,0,788,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x5.00 ม.",0200400065000,code128,ไม่ระบุ,02,007,007,,0,875,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x5.50 ม.",0200400065500,code128,ไม่ระบุ,02,007,007,,0,963,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 6""x1""x6.00 ม.",0200400066000,code128,ไม่ระบุ,02,007,007,,0,1050,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x1.00 ม.",0200400081000,code128,ไม่ระบุ,02,007,007,,0,230,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x1.50 ม.",0200400081500,code128,ไม่ระบุ,02,007,007,,0,345,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x2.00 ม.",0200400082000,code128,ไม่ระบุ,02,007,007,,0,460,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x2.50 ม.",0200400082500,code128,ไม่ระบุ,02,007,007,,0,575,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x3.00 ม.",0200400083000,code128,ไม่ระบุ,02,007,007,,0,690,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x3.50 ม.",0200400083500,code128,ไม่ระบุ,02,007,007,,0,805,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x4.00 ม.",0200400084000,code128,ไม่ระบุ,02,007,007,,0,920,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x4.50 ม.",0200400084500,code128,ไม่ระบุ,02,007,007,,0,1035,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x5.00 ม.",0200400085000,code128,ไม่ระบุ,02,007,007,,0,1150,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x5.50 ม.",0200400085500,code128,ไม่ระบุ,02,007,007,,0,1265,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้เต็งไส 8""x1""x6.00 ม.-",0200400086000,code128,ไม่ระบุ,02,007,007,,0,1380,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"ไม้บัว 2""x0.5""x1.00 ม.",0200500021000,code128,ไม่ระบุ,02,007,007,,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
