Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
เหล็กเส้น 2 หุน ขาว,0100010010003,code128,ไม่ระบุ,01,004,004,  ,44,60,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเส้น 2 หุน ฟ้า(SR24),0100010010205,code128,ไม่ระบุ,01,004,004,  ,49,70,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเส้น 3 หุน เหลือง,0100010020001,code128,ไม่ระบุ,01,004,004,  ,62,90,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเส้น 3 หุน ส้ม,0100010020002,code128,ไม่ระบุ,01,004,004,  ,82,110,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเส้น 3 หุน ฟ้า,0100010020205,code128,ไม่ระบุ,01,004,004,  ,103,130,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กข้ออ้อย 4หุน เหลือง,0100020030001,code128,ไม่ระบุ,01,004,004,  ,105,140,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กข้ออ้อย 4หุน ขาว,0100020030003,code128,ไม่ระบุ,01,004,004,  ,168,210,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กข้ออ้อย 16มม.ฟ้า,0100020040005,code128,ไม่ระบุ,01,004,004,  ,324,360,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กข้ออ้อย 20มม. ส้ม,0100020050002,code128,ไม่ระบุ,01,004,004,  ,422,450,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเส้นตัน 4 หุน,0100010030100,code128,ไม่ระบุ,01,004,004,  ,99,120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเส้นตัน 5 หุน,0100010040100,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
