Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"เหล็กกล่อง 1""x1"" ขาว",0100050060003,code128,ไม่ระบุ,01,004,004,  ,160,235,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1""x1"" เขียว",0100050060004,code128,ไม่ระบุ,01,004,004,  ,190,278,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/4""x1-1/4"" เหลือง",0100050070001,code128,ไม่ระบุ,01,004,004,  ,171,214,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/4""x1-1/4"" ส้ม",0100050070002,code128,ไม่ระบุ,01,004,004,  ,190,248,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/4""x1-1/4"" ขาว",0100050070003,code128,ไม่ระบุ,01,004,004,  ,212,300,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/4""x1-1/4"" เขียว",0100050070004,code128,ไม่ระบุ,01,004,004,  ,280,332,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/2""x1-1/2"" เหลือง",0100050080001,code128,ไม่ระบุ,01,004,004,  ,204,249,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/2""x1-1/2"" ส้ม",0100050080002,code128,ไม่ระบุ,01,004,004,  ,225,277,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/2""x1-1/2"" ขาว",0100050080003,code128,ไม่ระบุ,01,004,004,  ,264,364,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 1-1/2""x1-1/2"" เขียว",0100050080004,code128,ไม่ระบุ,01,004,004,  ,359,428,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่อง 2""x2"" เหลือง",0100050090001,code128,ไม่ระบุ,01,004,004,  ,272,355,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
